QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150401_001758	{memo X}You hear whispers in your head. 	머리 속에서 작은 속사귐이 들려온다.				
QUEST_20150401_001759	Unknown Crystal.	정체불명의 수정				
QUEST_20150401_001760	Entrapped force of the spell is released.	봉인돼있던 마력 기운이 풀려났다.				정체불명의 수정
QUEST_20150401_001761	The crystal is empty because the seal was released.	봉인이 풀려서 수정이 텅 비었다.				정체불명의 수정
QUEST_20150401_001762	Sealing the spell.	마력을 봉인하고 있다.				정체불명의 수정
QUEST_20150401_001763	$The powerful spell can be suppressed using a fragment of the Spell Suppressing Crystal. 	마력 억제 수정 파편을 사용하면 강력한 마력을 억제할 수 있을거 같다.				정체불명의 수정
QUEST_20150401_001764	Demon Lord Naktis	마군주 나크티스				
QUEST_20150401_001765	$You've been running around hard in my land. {nl}Sorry, kid, but my name calls for the curse.	내 땅에서 열심히도 뛰더구나.{nl}안타깝지만 꼬마야. 내 이름은 곧 저주를 부른단다.				마군주 나크티스
QUEST_20150401_001766	{memo X}What is this…? {nl}What are you doing with my soul?!	이게 대체 무슨 수작이지..{nl}네놈들. 내 영혼으로 무슨 짓을 하려는 게냐!				
QUEST_20150401_001768	Reconstruction of Blessings	축복의 재건				
QUEST_20150406_001769	{memo X}$You think so too, huh? {nl}Please collect some leather. You can get some from the monsters. 	계시자님께서도 그리 생각하시는군요.{nl}가죽을 부탁드립니다. 몬스터에게서 구할 수 있을 겁니다.				
QUEST_20150406_001770	$Then give me 1,000 silver coins. I'm in a tight spot here too.	그럼 1000 실버만 주시오. 나도 사정이 여의치 않아서.				농민
QUEST_20150406_001771	$I'm very sorry but I do hope you understand.	정말 미안하군. 하지만 이해했길 바라네.				농민
QUEST_20150406_001772	Then I have no business with you	그럼 일 없소.				농민
QUEST_20150406_001773	You're even worse than me.	나보다 더 힘든 게로구먼.				농민
QUEST_20150406_001774	$Even more pathetic than I am… Take it.	나보다 더 불쌍한 사람이라니.. 가져가시오.				농민
QUEST_20150406_001775	What is it? 	무슨 일이시오?				농민
QUEST_20150406_001776	$But you're a new face. {nl}Do you have anything to prove that you're Horacius' colleague?	하지만 자넨 처음 보는 얼굴이군.{nl}호라치우스의 동료라는 증거라도 있다면 모를까.				농민
QUEST_20150406_001777	No wonder! Here it is.	과연 그렇군! 여기 있어.				농민
QUEST_20150406_001778	$I can't just give my precious farming tools to someone so suspicious!	의심스러운 사람한테 소중한 농기구를 줄 수는 없어.				농민
QUEST_20150406_001779	Huh? Why should I trust you? 	그럼 뭘로 당신을 믿으라는 거지?				농민
QUEST_20150406_001780	{memo X}$You're very persistent. Here.	거 참 끈질기군. 가져가시오.				
QUEST_20150406_001781	Is Horacius really okay?	호라치우스는 정말 괜찮은 건가..				농민
QUEST_20150406_001782	I don't know who you are but I am very busy.	누군진 모르지만 난 매우 바빠.				농민
QUEST_20150406_001783	What happens if it fails? 	만약 실패하면 어떻게 되는거지?				농민
QUEST_20150406_001784	If it's just that then I'll cooperate. {nl}Will farming tools be enough? 	그 정도라면 협조하도록 하지.{nl}농기구만이면 되는가?				농민
QUEST_20150406_001785	$Of course I should give them. {nl}It'll be successful.	그렇다면 당연히 드려야죠.{nl}꼭 성공할 거예요.				농민
QUEST_20150406_001786	$Is that not enough?	역시 그걸론 부족한가?				농민
QUEST_20150406_001787	Necklace of Shaton	샤튼의 목걸이				
QUEST_20150406_001788	Found an old, blood stained necklace. Could it be Shaton's son's necklace? 	피 묻은 낡은 목걸이를 발견했다. 혹시 샤튼의 아들 것이 아닐까?				샤튼의 목걸이
QUEST_20150406_001789	$This machine can process crystal fragments. {nl}Which item would you like to process? 	수정 조각을 모아 가공시킬 수 있는 기계입니다.{nl}무슨 아이템으로 가공하겠습니까?				수정가공기계
QUEST_20150406_001790	Memo	쪽지				
QUEST_20150406_001791	$If you resonate the crystals a bit, you'll hear beautiful music	약간의 수정 조각을 공명시키면 아름다운 선율이 흘러나옵니다.				쪽지
QUEST_20150406_001792	$Caution: Area in front is a rockslide area!	이 앞은 낙석지대이므로 조심할 것!				경고
QUEST_20150406_001793	Machine of Riddles	수수께끼의 기계장치				
QUEST_20150406_001794	{memo X}There are red, blue, and yellow circles on the old surface. 	낡은 표면에는 빨강, 파랑, 노랑의 세 원이 그려져 있다.				
QUEST_20150406_001795	{memo X}It's the reverting chain that shredded my soul… I collected my soul with it.	내 영혼을 찢어발긴 환원의 사슬이로군..덕분에 내 영혼이 모을 수 있었다.				
QUEST_20150406_001796	{memo X}$Seems the plan was to block the corruption breach with my soul. {nl}Good thing I knew about it before it was too late. 	보아하니 내 영혼의 힘으로 전이틈새를 막을 작정이었군.{nl}더 늦기 전에 알아차려서 다행이야.				
QUEST_20150406_001797	$Did you really think you could take me so easily? {nl}Send my greetings to Vakarine.	내가 그렇게 쉽게 당할 줄 알았나?{nl}바카리네에게 안부나 전해줘라.				마군주 하우벅
QUEST_20150406_001798	{memo X}Hand it over, Revelator. {nl}The Goddess will take care of it.	계시자여 그걸 제게 넘겨주십시오.{nl}여신께서 처리해주실 겁니다.				
QUEST_20150406_001800	Lost Magic Circle	잊어버린 마법진				
QUEST_20150414_001801	What do you want to know? 	어떤 것이 궁금하신가요?				오라클 마스터
QUEST_20150414_001802	Receptionist Ramda	접수원 람다				
QUEST_20150414_001803	{memo X}$The commission can start once all party members have gathered. 	파티원이 모두 모여야 의뢰를 시작할 수 있습니다.				
QUEST_20150414_001804	{memo X}You are not eligible to receive commissions yet. 	의뢰를 받을 수 있는 조건이 안 됩니다.				
QUEST_20150414_001805	{memo X}Star commission? 	의뢰를 시작하시겠습니까?				
QUEST_20150414_001806	$That's right. {nl}The altar will move again.	정답이다.{nl}제단은 다시 움직일 것이다.				자카리엘의 충직한 수호자
QUEST_20150414_001807	$Box of Legwyn Family	르귄가문의 상자				
QUEST_20150414_001808	{memo X}Nothing can be found now…	지금은 아무것도 발견할 수 없다...				
QUEST_20150414_001809	Tesla Government	테슬라 헌정				
QUEST_20150414_001810	{memo X}I offer the Goddess Statue of Soul my honor and light. 	큰 영광이자 빛인 여신께 나의 모든 영혼을 담은 여신상을 바칩니다.				테슬라 헌정
QUEST_20150414_001811	$Ugh. How can you eat that? You should bring ones that aren't spoiled.	윽, 그걸 어떻게 먹으라는 거야? 안 썩은 걸로 가져 와야지.				달류스
QUEST_20150414_001812	$Good, good. The purification is going well. {nl}Welcome to my territory, Revelator. 	좋군. 좋아. 정화는 순조롭군.{nl}내 영지에 온걸 환영하네, 계시자여.				남작 아렐르노
QUEST_20150414_001813	$The purification? Ah… yes, it's ongoing. {nl}This is all for the farmers as long as that engine works well.	정화? 아아.. 그래. 하고 있지.{nl}이게 다 농민들을 위한 일이네. 저 동력원이 잘 움직여 준다면야.				남작 아렐르노
QUEST_20150414_001814	$The old man wants just one thing: {nl}beauty, everlasting beauty…	늙은이가 원하는 거야 딱 한 가지지.{nl}영원한 것. 영원한 아름다움..{nl}				남작 아렐르노
QUEST_20150414_001815	Ah, I'm referring to the engine and purification. 	아아. 동력원과 정화 얘길세.				남작 아렐르노
QUEST_20150414_001816	$This machine takes too many crops. {nl}You can say it was kept because of my prestige and morality.	이 동력원은 곡식을 먹어도 너무 먹어. {nl}내가 덕망 있고 권위가 있어서 지금까지 유지해 왔다고 해야겠지.				남작 아렐르노
QUEST_20150414_001817	$Haven't you seen the weird aura around the farm? {nl}That's what's polluting the farm.	농장 구석구석에 이상한 기운을 보지 못했나?{nl}그게 바로 농장을 오염시키고 있는 주범일세.{nl}				남작 아렐르노
QUEST_20150414_001818	$The spell device is used to suppress the aura using the magic circle to purify the farm. {nl}It's all thanks to Limas.	마법진으로 그 기운을 눌러 마력 동력원으로 이 농장을 정화하려고 하지.{nl}다 옆에 있는 리마스 덕분이야.				남작 아렐르노
QUEST_20150414_001819	$Anyway, when will the search team be back from the restricted area?	그나저나 통제구역으로 보낸 탐사대는 언제 돌아오는 거야?{nl}				남작 아렐르노
QUEST_20150414_001820	$Ah, you're still here. {nl}Take your time and look around.	아, 아직 있었군.{nl}천천히 구경하다 가시게.				남작 아렐르노
QUEST_20150414_001821	$If we fail… Then what will happen to us? 	혹시나 실패한다면.. 그 땐 우린 어떻게 되는 걸까.				농민
QUEST_20150414_001822	$The farm rent has become a problem. People aren't generous any more. 	어느 순간부터 소작료가 너무 무거워져서.. 인심마저 보통 사나운게 아닙니다.				농민
QUEST_20150414_001823	$It's no joke.	장난도 아니고..				농민
QUEST_20150414_001824	{memo X}$Someone's Memo	누군가의 쪽지				
QUEST_20150414_001825	{memo X}$This place is insane. {nl}The only way to get rid of this cursed Tree Root Crystal is to burn the place down. {nl}It should all be burned.	이 곳은 미쳤다. 이 저주 받은 나무뿌리 수정을 없애기 위해서는 불을 지르는 수 밖에 없어. 불을 질러야 돼.				
QUEST_20150414_001826	$The Baron's greed had him send his men into this area. {nl}None of them made it back.	남작은 욕심에 눈이 멀어 수하들을 이 안으로 들여보냈었지. {nl}물론 돌아오진 못했다만.{nl}				마군주 하우벅
QUEST_20150414_001827	$I watched everything with the wizard's eyes. {nl}Even the screams of Vakarine and her Cupols. 	이 마법사의 눈으로 모든 걸 지켜봐 왔다.{nl}바카리네와 그녀의 큐폴들이 지르는 비명소리도 함께 말이다.				마군주 하우벅
QUEST_20150414_001828	$That depends on whether or not you have the will to save the Goddess. {nl}We can take time to talk about it. 	그건 네가 여신을 구할 마음이 있는지에 달린 일이다.{nl}앞으로 천천히 이야기를 해도 좋겠지..				마군주 하우벅
QUEST_20150414_001829	$Isn't there a more effective way to block the monsters?	몬스터를 좀 더 효과적으로 막을 방법은 없는 걸까..				연구원 가레스
QUEST_20150414_001830	$Freshly cultivating the farm isn't easy though at least there are less monsters than before.	농장을 새로 개간한다는 것도 참 힘든 일이군요.{nl}그나마 몬스터가 적어서 참 다행이지요.				연구원 가레스
QUEST_20150414_001831	{memo X}$They were once gentle monsters that suddenly grew vicious. {nl}Have you heard of anything else like that? 	원래 순한 몬스터들이였는데 갑자기 난폭해지다니..{nl}계시자님도 이런 일을 들어본 적이 있습니까?				
QUEST_20150414_001832	$Many loved ones would have been lost if not for you. {nl}Why would someone do that?	계시자님이 아니었으면 여럿 사람 목숨을 잃을 뻔 했습니다.{nl}도대체 누가 무슨 생각으로 그런 짓을 저질렀을까요?				기티스
QUEST_20150414_001833	$I'm sure it's a monster behind a man's mask. {nl}Spreading poison? Evoniphon? I'll remember that.	그런 짓을 저지른 사람은 분명 사람의 탈을 쓴 몬스터일 겁니다.{nl}독을 퍼뜨리다니요. 에보니폰? 기억해둬야겠습니다.				기티스
QUEST_20150414_001834	$Weird things happen when you try to cultivate a new farm. {nl}Though nowadays it's even weirder if nothing happens. 	새로 농장으로 개간하려니 별 일이 다 벌어지네요.{nl}하긴 요즘 세상에 이상한 일이 없는 게 더 이상하지요.				기티스
QUEST_20150414_001835	$I didn't think we'd lack manpower since it's close to Klaipeda. Guess that was a mistake on my part. {nl}Well, at least we have enough soldiers to fight the large monsters.	클라페다와 가까워서 일손이 모자르지 않을 줄 알았는데 착각이었나 봅니다.{nl}하긴, 대형 몬스터가 나와도 대치할 수 있는 병력이 있는 게 어디입니까.				병사 데니스
QUEST_20150414_001836	$Guarding the farm is tiring enough. {nl}How much time do the soldiers need to explore the Thorn Forest? 	농장을 지키는 것도 이렇게 힘든데 가시숲을 개척하는 병사들은 얼마나 힘들까요?				병사 데니스
QUEST_20150414_001837	$One or two monsters I can handle fine. {nl}I don't think I can handle an entire flock though.	몬스터 한 두 마리 쯤은 괜찮습니다만.{nl}만약에 떼로 덮쳐오면 저 혼자 버텨낼 수 있을지 걱정입니다.				병사 앨런
QUEST_20150414_001838	$I'm standing guard here. {nl}It's better than the Eastern Forest since there are less monsters{nl}but it isn't exactly easy.	여기서 경계를 서고 있습니다.{nl}동쪽 숲 보단 몬스터가 적어서 좀 낫지만 그래도 자기 일이 제일 힘든 것 아니겠습니까.				병사 앨런
QUEST_20150414_001839	$My colleagues' faces turned pale and they ran away. What's going on? 	동료들이 얼굴이 새파래져서 도망치던데, 도대체 무슨 일이죠?				병사 앨런
QUEST_20150414_001840	$A Gorgon? Holy… I think I've seen one.	고르곤인가요? 이런.. 그러게 내가 봤다니까.				병사 앨런
QUEST_20150414_001841	A tremendous monster was sighted here. Have you seen it? 	여기서 엄청난 몬스터가 목격되었다는데 혹시 본 적 있나?				병사 퍼스
QUEST_20150414_001842	$It's a bit dubious, a monster hiding in a dead end like this. {nl}I can't just ignore the report though…	이상하군. 이렇게 막다른 곳에 그렇게 큰 몬스터가 숨어있다니, 원.{nl}보고를 무시할 수도 없고..				병사 퍼스
QUEST_20150414_001843	Crops from here will be brought to Klaipeda. {nl}I heard the farm has been contaminated with an evil force. 	여기서 수확한 작물들은 클라페다로 갈 거야.{nl}듣자하니 많은 농장들이 사악한 기운에 오염되어 버렸다는군.				루이즈
QUEST_20150414_001844	$The farm's cultivation just started so I'm the only one who received farmland. {nl}I wonder when they'll cultivate the whole area like this. 	이제 갓 개간을 시작한 농장이라 농지를 받은 사람은 아직 나밖에 없어.{nl}이래가지곤 언제 전부 개간하겠다는 건지.				루이즈
QUEST_20150414_001845	$You defeated the Gorgon? {nl}Wow, Revelators must be some sort of superman.	그 고르곤을 해치웠다고?{nl}계시자라고 하는 사람들은 전부 초인이라도 되는가 보구먼.				병사 퍼스
QUEST_20150414_001846	$One wrong move and we could've been wiped out. {nl}It feels like the Goddess has returned and is keeping us safe. 	까딱하면 전멸할 뻔했어.{nl}전부 안다치고 돌아온게 여신이라도 돌아온 것 같아.				병사 퍼스
QUEST_20150414_001847	I could have fought more but my colleagues ran away. {nl}I can take those monsters anytime…	전 더 싸울 수 있었는데 동료들이 먼저 도망쳤어요.{nl}그런 몬스터따위 얼마든지..				병사 가투스
QUEST_20150414_001848	Next time, I'll fight at the front line. {nl}I'm sure I can take it down. 	다음엔 무조건 최전방에서 싸울 겁니다.{nl}분명히 쓰러뜨릴 자신 있었다구요.				병사 가투스
QUEST_20150414_001849	$It would have been dangerous if you weren't around. {nl}Such a big monster near Klaipeda…	계시자님이 없었으면 정말 큰일날 뻔 했습니다.{nl}클라페다 주변에서 저렇게 큰 몬스터라뇨.				병사 투란
QUEST_20150414_001850	$Gatus, he was the first to run away but he loves to bluff… {nl}	가투스 녀석, 제일 먼저 도망친 주제에 언제나 말은 번지르르..{nl}				병사 투란
QUEST_20150414_001851	$How could Gitis lie to us? {nl}He said there were only gentle monsters. 	기티스님이 어떻게 우리에게 거짓말을 할 수 있죠?{nl}다 순한 몬스터들밖에 없다더니만.				병사 라모스
QUEST_20150414_001852	Alan's worse. {nl}He should have correctly said it was Gorgon.	앨런이 더 나빠요.{nl}고르곤이라고 똑바로 말을 했어야지.				병사 라모스
QUEST_20150414_001853	$I saw your fight as I ran away and it was spectacular. {nl}Do you fight these kinds of monsters often? 	도망치면서 계시자님께서 싸우는 모습을 봤는데 정말 엄청났습니다.{nl}저런 몬스터를 상대해 본 경험이 많으신가보지요?				병사 바란
QUEST_20150414_001854	$I really envy you. {nl}I could be a good soldier too if I had your abilities. 	계시자님이 정말 부럽습니다.{nl}저도 그만한 실력을 가졌다면 남부끄럽지 않은 병사가 됐을 텐데요.				병사 바란
QUEST_20150414_001855	I feel sick… Ugh…	속이 너무 안좋아.. 윽..				농장 인부
QUEST_20150414_001856	I still feel sick but it's getting better. {nl}Thank you very much. 	아직도 속이 안 좋지만 그래도 전보단 나은 것 같아요.{nl}정말 감사합니다.				농장 인부
QUEST_20150414_001857	$You brought the medicine for us? {nl}Thank you. The Goddess will surely bless you. 	계시자님이 저희들을 위해서 약을 구해 주셨다죠?{nl}여신께서 계시자님께 축복을 내려주실겁니다.				농장 인부
QUEST_20150414_001858	Hm… Is the antidote ready yet…?	우욱.. 해독제는 아직인가..				농장 인부
QUEST_20150414_001859	Save me…	살려줘..				농장 인부
QUEST_20150414_001860	$If it weren't for you, I'd be meeting the Goddess right now. {nl}Thank you very much	당신이 아니였으면 벌써 여신을 만나고 있었겠지.{nl}정말 고맙소.				농장 인부
QUEST_20150414_001861	$I lost consciousness on something weird that I then knew was poison. {nl}That pain… I don't ever want to think about it again. 	뭔가 이상한 기운에 정신을 잃었다가 독에 당했다는걸 알게 되었지.{nl}정말 그 고통은 생각하기도 싫소.				농장 인부
QUEST_20150414_001862	Help… I feel like dying…	도와줘.. 죽을 것 같아..				농장 인부
QUEST_20150414_001863	$Thank you for saving us. {nl}I was sure we were dead.	계시자님, 구해주셔서 정말 감사합니다.{nl}아까는 차라리 죽었으면 했다니까요.				농장 인부
QUEST_20150414_001864	$I suddenly felt hot and… I don't remember anything after that. {nl}Evoniphon? Never heard of it. 	갑자기 더운 기운이 확 덮쳤고.. 그 이후는 기억이 나질 않아요.{nl}에보니폰? 전 처음 듣는 이름이네요.				농장 인부
QUEST_20150414_001865	$My stomach's burning…	뱃속이 타들어가는 것 같아..				농장 인부
QUEST_20150414_001866	{memo X}$Go back. {nl}Humans shouldn't enter this place.	돌아가세요.{nl}이 곳은 인간이 절대 들어오면 안 될 곳입니다.				
QUEST_20150414_001867	{memo X}$We cannot protect you. Go back.	저희로선 그대를 지켜드릴 방도가 없습니다. 돌아가세요.				
QUEST_20150414_001868	{memo X}$Nuaelle's subordinates are all gone. {nl}Go find Aladona. She'll take you to Nuaelle's territory. 	누아엘레의 수족들이 모두 잘려나갔군요.{nl}이제 알도나님을 찾아가세요. 누아엘레의 영역으로 데려가 주실 겁니다.				
QUEST_20150414_001869	{memo X}$Aside from the corruption breach, our biggest problem was Nuaelle. {nl}Now we can focus on the corruption breach. {nl}Go to Prison District 3. The Goddess awaits your support.	전이 틈새를 제외하곤 우리의 가장 큰 골칫거리는 누아엘레였습니다.{nl}이제 전이 틈새에 집중할 수 있을 것입니다.{nl}수감소 3 구역으로 향하십시오. 여신께서 당신의 도움을 기다립니다.				
QUEST_20150414_001870	$Prepare to make a new base.	준비하라. 새로운 근거지를 만든다.				VPRISON512_MQ_03_DEBUFF
QUEST_20150414_001871	$This is where the world of demons and humans meet. This is my home.	마계와 인간세계가 이어지는 이 곳을 고향으로 삼는다.				VPRISON512_MQ_03_DEBUFF
QUEST_20150414_001872	$Break the wings of the Goddess and destroy all barriers.	여신의 날개를 꺾어 모든 결계를 부수어라.				VPRISON512_MQ_03_DEBUFF
QUEST_20150414_001873	$Let's expand our force starting from here.	이 곳을 시작으로 세력을 넓히자.				VPRISON512_MQ_03_DEBUFF
QUEST_20150414_001874	$This will be our land.	이 곳은 우리들의 땅이 될 것이다.				VPRISON512_MQ_03_DEBUFF
QUEST_20150414_001875	$Come find me if you have anything to ask.	궁금한 정보가 있으면 언제든 찾아오세요.				오라클 마스터
QUEST_20150414_001876	{memo X}$Among them, the Paladin Master was a hero who saved many lives in the capital. {nl}Currently, he has gone to Silverstream Gorge to fight a great evil.	그 중 팔라딘 마스터는 수도에서 많은 이들을 구한 영웅입니다.{nl}현재 그는 거대한 악에 맞서기 위해 스라우타스 협곡으로.. 				영웅전
QUEST_20150414_001877	$I don't like Fiona and wonder why she's the Hunter Master. {nl}But, if we need her to defeat Evoniphon, I'm fine with allying with her.	피오나는 정말 싫어. 그런 주제에 헌터 마스터나 하고 있고.{nl}하지만 에보니폰을 추적하기 위해서라면 피오나와 손을 잡아도 상관 없어.				레인저 마스터의 점토판
QUEST_20150414_001878	Cured Farmer	치료된 소작인				
QUEST_20150414_001879	You saved my life. I still feel sick… but thank you very much!	덕분에 살았습니다. 속은 아직 안좋지만.. 정말 고맙습니다!				치료된 소작인
QUEST_20150414_001880	$If the grapes keep turning out this way, I'm leaving Shaton Farm. {nl}I don't want this kind of pain any more.	포도가 계속 이 모양이라면 샤튼 농장을 떠날거예요.{nl}이런 고통은 더는 싫다고요.				치료된 소작인
QUEST_20150414_001881	$I thought the poison would burn my body. {nl}Thank you very much for saving me.	독 때문에 온 몸이 타들어가는줄 알았어요.{nl}구해주셔서 정말 감사합니다..				치료된 소작인
QUEST_20150414_001882	Warehouse Keeper Rita	창고지기 리타				
QUEST_20150414_001883	$Welcome! {nl}How can I help you?	어서오세요!{nl}무엇을 맡아드릴까요?				창고지기 리타
QUEST_20150414_001884	$You shouldn't trust anyone here. Not the Goddess and not even yourself.	이 곳에선 아무도 믿지 말아라. 여신도 네 자신도 말이다.				하우벅의 환영
QUEST_20150414_001885	$Demon Lord Hauberk, the Goddess does not wish to fight you. {nl}Cease your hostile actions at once. 	마군주 하우벅. 여신께선 당신과 대립할 의사가 전혀 없으십니다.{nl}여신을 향한 적대적인 행위는 멈춰 주십시오.				큐폴 아우드라
QUEST_20150414_001886	$Prepare to make the Evening Star Key. {nl}Hurry, we don't have much time. I'll be sending the Revelator soon. 	너흰 저녁별 열쇠를 만들 준비를 하거라.{nl}시간이 없으니 서둘러라. 곧 계시자를 보내겠다.				여신 바카리네
QUEST_20150414_001887	My soul is mine, only mine!	내 영혼은 오직 나만의 것이다!				마군주 하우벅
QUEST_20150414_001888	{memo X}$I was able to gather my soul thanks to you. {nl}But this… Isn't this the reverting chain that shredded my soul?	덕분에 나의 영혼을 모을 수 있었다.{nl}그런데 이건.. 내 영혼을 찢어발긴 환원의 사슬 아닌가.{nl}				마군주 하우벅
QUEST_20150414_001889	$Right. Now I understand… {nl}The plan was to block the corruption breach with the power of my soul.	그렇군. 이제야 알겠어..{nl}내 영혼의 힘으로 전이 틈새를 막을 작정이었나보지?{nl}				마군주 하우벅
QUEST_20150414_001890	$Hand it over, Revelator. {nl}It's a power that the Goddess should take care of. 	그 힘을 제게 넘겨주세요.{nl}여신께서 거두셔야 할 힘입니다.				큐폴 알도나
QUEST_20150414_001891	$Receptionist Brandon	접수원 브렌든				
QUEST_20150428_001892	The information to share with you is not getting gathered.	알려드릴 정보가 모이지 않았습니다.				오라클 마스터
QUEST_20150428_001893	{memo X}$It's better to use the cable car than heading straight into the monsters.	몬스터 한복판을 헤쳐가느니 차라리 케이블카를 이용하는게 훨씬 좋지요.				
QUEST_20150428_001894	$You can get to the other end by using the cable car.	케이블카를 이용하면 반대편으로 한 번에 갈 수 있습니다.				캔버그
QUEST_20150428_001895	{memo X}$Careful! This must be Antares' doing. {nl}It will explode if you go near it. {nl}It's better to get rid of them by luring each of them one by one.	조심해요! 분명 이건 안타라스 짓이 틀림없어요.{nl}가까이 다가가면 폭발할 거예요.{nl}몬스터를 유인해서 하나하나 제거하는 게 좋겠어요.				
QUEST_20150428_001896	{memo X}$Please protect me as I stabilize the Jewels of Prominence. I need to concentrate.	제가 홍염의 보석을 안정시키는 동안 방해받지 않도록 보호해 주세요.				
QUEST_20150428_001897	$Okay… Let me see the completed jewel you put so much effort into making. {nl}I don't know about you but I really like it, huhuhu…	그래.. 홍염의 보석을 만드느라 수고했으니 결과물을 한번 봐야겠지?{nl}난 정말 마음에 드는데 너는 어떠려나 모르겠네, 후후후..				그리타
QUEST_20150428_001898	The Letter that is Ripping into Pieces	바스러져 가는 쪽지				
QUEST_20150428_001899	Ripped Diary	찢어진 일기				
QUEST_20150428_001900	The Last Record	마지막 기록				
QUEST_20150428_001901	$The Abandoned Diary	버려진 일기장				
QUEST_20150428_001902	$The Goddess left many things to the first Paladin: {nl}The threat of the Demon Lord, Gesti, and the mission to protect. {nl}She also mentioned that the savior would come.	여신께선 초대 팔라딘에게 여러 가지를 남기셨어.{nl}마왕 제스티의 위협이라던가, 지켜야 할 사명이라던가.{nl}그 중엔 구원자가 올 것이라는 말씀도 있었지.{nl}				팔라딘 마스터
QUEST_20150428_001903	{memo X}$The royal tomb that was mentioned in the revelation is located too far away from you. {nl}I'll open the portal for you.	계시에서 말하는 왕릉은 그대의 발걸음으론 너무나 먼 곳에 있습니다.{nl}제가 포탈을 열어 드리지요.				여신 사울레
QUEST_20150428_001904	$You can feel the fading existence around.	주변에서 무언가 흐릿한 존재가 느껴진다.				카타콤 1층 흐릿한 영체
QUEST_20150428_001905	$Beings that were once invisible are starting to appear…	여태까지 보이지 않던 것들이 보이기 시작한다.				카타콤 1층 흐릿한 영체
QUEST_20150428_001906	$No responses now.	지금은 아무런 반응이 없다.				별의 석상
QUEST_20150428_001907	$The altar is already activating.	이미 제단이 작동중이다.				제어 제단
QUEST_20150428_001908	$The candlestick is already lit.	이미 촛대에 불이 켜져있다.				촛대
QUEST_20150428_001909	$You'll need something to light it with…	불을 켤 수 있을 만한 게 필요해 보인다.				촛대
QUEST_20150428_001910	$It seems that it is reacting to something lightly.	무언가에 약하게 반응하고 있는 것 같다.				스타스톤
QUEST_20150428_001911	$The altar is missing something to activate.	제단을 작동하기엔 무언가 부족한거 같다.				제어 제단
QUEST_20150428_001912	$You feel a great energy coming from the altar.	제단에서 강력한 기운이 느껴진다.				제어 제단
QUEST_20150428_001913	$You feel an unknown force.	알 수 없는 힘이 느껴진다.				존오브젝트 체크
QUEST_20150428_001914	$The monsters weaken as the eerie shadow disappears.	음산한 그림자가 사라지자 몬스터가 약해진다.				음산한 그림자
QUEST_20150428_001915	$Looks like it can't absorb any more.	지금은 더 이상 흡수할 수 없을 것 같아 보인다.				별의 램프
QUEST_20150428_001916	$You feel like you're being sucked into the light…	왠지 이 빛에 빨려들 것만 같다.				별의 램프
QUEST_20150428_001917	{memo X}$You can't find anything yet.	지금은 아무것도 발견할 수 없다.				르귄가문의 상자
QUEST_20150428_001918	$The Husband of a Refugee	피난민 남편				
QUEST_20150428_001919	$The Wife of a Refugee	피난민 아내				
QUEST_20150428_001920	$It is very fortunate. {nl}Shall we return to the village?	정말 다행이에요.{nl}다시 마을로 돌아갈 수 있겠지요?				피난민 아내
QUEST_20150428_001921	Will	유언장				
QUEST_20150428_001922	{memo X}$How stingy. I'll have to be stingy as well then.	인색하기 짝이 없군요. 그럼 나도 인색할 수밖에.				
QUEST_20150428_001923	Blackened Clue	그을린 실마리				
QUEST_20150428_001924	{memo X}$This place is insane. {nl}The only way to get rid of this cursed Tree Root Crystal is to burn the place down. {nl}It should all be burned.	이 곳은 미쳤다. {nl}이 저주 받은 나무뿌리 수정을 없애기 위해서는 불을 지르는 수밖에 없어. {nl}불을 질러야 돼.				그을린 실마리
QUEST_20150428_001925	$The Diary that was Written in Anger	분노로 휘갈긴 일지				
QUEST_20150428_001926	{memo X}$I'll never forgive the monsters that killed my family. {nl}Though my body returns to the ground, my soul still burns with anger. {nl}Oh, Goddess. Only the cold blood of the monsters can cool my rage.	나의 가족들을 앗아간 몬스터들을 도저히 용서할 수가 없다. {nl}비록 육신은 대지로 돌아가련만 나의 영혼만은 꺼지지 않은 분노로 불타오를 것이다. {nl}아아, 여신이시여. 차가운 몬스터의 체액만이 저의 분노를 식힐 수 있겠습니까.				분노로 휘갈긴 일지
QUEST_20150428_001927	Wrinkled Letter	구겨진 쪽지				
QUEST_20150428_001928	$Maven's teaching is ruined by the curse. {nl}Sinful Naktis. May the curse come upon you as well!	메이번의 가르침은 저주로 더럽혀져 버렸다.{nl}죄 많은 나크티스여. 그대도 저주받아라!				구겨진 쪽지
QUEST_20150428_001929	{memo X}$Savior, {nl}I shall show you the great will that you've been left.	구원자여.{nl}그대에게 계시에 남겨진 위대한 의지를 보여주리라.				자카리엘 왕의 의지
QUEST_20150428_001930	$The Diary of Arune	아루네의 일지				
QUEST_20150428_001931	$Circumstances have changed. {nl}The demons needed more life energy for the Divine Tree.	상황은 변했다. {nl}마족들은 세계수를 위해 더 많은 생명의 힘을 필요로 했다. {nl}				아루네의 일지
